"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
20	0.000000000000000e+00	7.473599999986039e-02	1.176829268292683e+00	1.225745504857561e+03	1.164773908347864e-14	8.916599999981263e+05	1.013250000000001e+05	3.000000000000002e+02	1.595735968239367e-16	2.999999999995596e+00	
21	0.000000000000000e+00	7.940699999985376e-02	1.176829268292682e+00	1.225745504857560e+03	-2.348945197929340e-14	8.916599999981265e+05	1.013250000000000e+05	3.000000000000002e+02	2.279622811770525e-17	2.999999999995597e+00	
22	0.000000000000000e+00	8.407799999984715e-02	1.176829268292683e+00	1.225745504857560e+03	-4.503480746627508e-14	8.916599999981265e+05	1.013250000000002e+05	3.000000000000006e+02	2.735547374124630e-16	2.999999999995594e+00	
23	0.000000000000000e+00	8.874899999984050e-02	1.176829268292684e+00	1.225745504857561e+03	3.875585815426389e-14	8.916599999981268e+05	1.013250000000001e+05	3.000000000000002e+02	2.279622811770525e-16	2.999999999995595e+00	
24	0.000000000000000e+00	9.341999999983389e-02	1.176829268292683e+00	1.225745504857561e+03	1.070878665966529e-13	8.916599999981269e+05	1.013250000000000e+05	3.000000000000001e+02	4.559245623541049e-17	2.999999999995598e+00	
25	0.000000000000000e+00	9.809099999982725e-02	1.176829268292683e+00	1.225745504857561e+03	-9.811728465003227e-14	8.916599999981265e+05	1.013249999999999e+05	2.999999999999996e+02	-2.279622811770525e-16	2.999999999995600e+00	
26	0.000000000000000e+00	1.027619999998206e-01	1.176829268292682e+00	1.225745504857560e+03	-1.216598726829602e-13	8.916599999981262e+05	1.013250000000002e+05	3.000000000000007e+02	2.735547374124630e-16	2.999999999995593e+00	
27	0.000000000000000e+00	1.074329999998140e-01	1.176829268292683e+00	1.225745504857561e+03	-1.183960821585384e-15	8.916599999981270e+05	1.013250000000001e+05	3.000000000000002e+02	1.367773687062315e-16	2.999999999995597e+00	
28	0.000000000000000e+00	1.121039999998064e-01	1.176829268292682e+00	1.225745504857560e+03	-2.693702523737786e-14	8.916599999981268e+05	1.013250000000001e+05	3.000000000000006e+02	2.051660530593472e-16	2.999999999995596e+00	
29	0.000000000000000e+00	1.167749999997980e-01	1.176829268292684e+00	1.225745504857561e+03	5.093395359227253e-14	8.916599999981270e+05	1.013250000000002e+05	3.000000000000006e+02	3.875358780009892e-16	2.999999999995593e+00	
30	0.000000000000000e+00	1.214459999997862e-01	1.176829268292683e+00	1.225745504857560e+03	9.636610599107291e-14	8.916599999981266e+05	1.013250000000002e+05	3.000000000000007e+02	3.875358780009892e-16	2.999999999995592e+00	
31	0.000000000000000e+00	1.261169999997736e-01	1.176829268292684e+00	1.225745504857562e+03	1.242001113568985e-13	8.916599999981271e+05	1.013250000000001e+05	2.999999999999999e+02	9.118491247082098e-17	2.999999999995598e+00	
32	0.000000000000000e+00	1.307879999997600e-01	1.176829268292683e+00	1.225745504857561e+03	1.010212526704420e-13	8.916599999981268e+05	1.013250000000002e+05	3.000000000000006e+02	3.647396498832839e-16	2.999999999995593e+00	
33	0.000000000000000e+00	1.354589999997465e-01	1.176829268292683e+00	1.225745504857561e+03	1.788748589537636e-13	8.916599999981265e+05	1.013250000000000e+05	2.999999999999999e+02	-6.838868435311574e-17	2.999999999995598e+00	
34	0.000000000000000e+00	1.401299999997329e-01	1.176829268292683e+00	1.225745504857562e+03	8.334380813650800e-14	8.916599999981269e+05	1.013249999999998e+05	2.999999999999994e+02	-2.507585092947577e-16	2.999999999995602e+00	
35	0.000000000000000e+00	1.448009999997194e-01	1.176829268292683e+00	1.225745504857561e+03	5.686174838718751e-15	8.916599999981264e+05	1.013249999999999e+05	2.999999999999996e+02	-2.279622811770525e-16	2.999999999995600e+00	
36	0.000000000000000e+00	1.494719999997058e-01	1.176829268292684e+00	1.225745504857562e+03	1.331464700478373e-13	8.916599999981266e+05	1.013249999999998e+05	2.999999999999993e+02	-2.963509655301682e-16	2.999999999995602e+00	
