filename,error
double_ramp_0.0469_0.0508_ma_5.328_pres_188459_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0427_0.0406_ma_7.081_pres_167032_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0427_0.0406_ma_7.081_pres_167032_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0492_0.0478_ma_4.556_pres_193161_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0492_0.0478_ma_4.556_pres_193161_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0415_0.0398_ma_6.841_pres_192125_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0415_0.0398_ma_6.841_pres_192125_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0495_0.051_ma_4.159_pres_111434_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0495_0.051_ma_4.159_pres_111434_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0321_0.0357_ma_2.399_pres_152840_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0321_0.0357_ma_2.399_pres_152840_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0494_0.051_ma_2.471_pres_192082_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0494_0.051_ma_2.471_pres_192082_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0469_0.0508_ma_3.897_pres_189000_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0469_0.0508_ma_3.897_pres_189000_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0464_0.0455_ma_3.684_pres_179957_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0464_0.0455_ma_3.684_pres_179957_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0415_0.0398_ma_2.501_pres_174200_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0415_0.0398_ma_2.501_pres_174200_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0494_0.051_ma_7.74_pres_150753_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0494_0.051_ma_7.74_pres_150753_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0427_0.0406_ma_7.051_pres_130502_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0427_0.0406_ma_7.051_pres_130502_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0321_0.0357_ma_3.514_pres_183556_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0321_0.0357_ma_3.514_pres_183556_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0433_0.0381_ma_3.04_pres_118977_interpolated_arrays_density.npy,"expected 12 points, got 11"
